"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"1/12/2026","1/12/2026","1/12/2026","","Robinhood Credit Card balance payment","XENT_CC","","","($50.00)"
"1/9/2026","1/9/2026","1/9/2026","","Robinhood Credit Card balance payment","XENT_CC","","","($200.00)"
"1/9/2026","1/9/2026","1/9/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$126.76"
"1/8/2026","1/8/2026","1/8/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($481.40)"
"1/8/2026","1/8/2026","1/9/2026","AIIO","Robo.ai
CUSIP: G6693P106","Buy","200","$0.30","($60.18)"
"1/8/2026","1/8/2026","1/9/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Sell","315","$4.82","$1,518.24"
"1/8/2026","1/8/2026","1/8/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$5.48"
"1/7/2026","1/7/2026","1/7/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$57.89"
"1/5/2026","1/5/2026","1/6/2026","RXRX","RXRX 1/16/2026 Call $4.50","STO","4","$0.20","$79.83"
"1/5/2026","1/5/2026","1/5/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$10.32"
"1/2/2026","1/2/2026","1/2/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($16.83)"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
